name	Sigle	latitude	longitude	code
86660 Tapfheim	sbs048tap	48.6879056	10.6150547	453
86666 Burgheim	sbs054bhm	48.6892586	10.9723147	454
86668 Karlshuld	sob042kar	48.6774358	11.2596284	455
86669 Klingsmoos	sbs068klm	48.6151008	11.1149094	456
86669 Untermaxfeld	sob041umf	48.6721801	11.2126395	457
86672 Thierhaupten	sbs075thi	48.5655084	10.8583547	458
86674 Baar	sbs076baa	48.583801	10.931464	459
86676 Ehekirchen	sbs067ehk	48.6352123	11.283187	460
86678 Ehingen	sbs063ehi	48.5892839	10.755972	461
86679 Ellgau	sbs064elg	48.6124218	10.829382	462
86681 F�nfstetten	sbs028fun	48.8400771	10.7346425	463
86682 Genderkingen	sbs052gen	48.7108813	10.8280379	464
86687 Altisheim	sbs039ahm	48.7376064	10.8689047	465
